carimbo,container,cpu_pct,mem_uso,mem_pct
16:24:31,prontudigital-db,18.42%,133.6MiB / 512MiB,26.10%
16:24:39,prontudigital-backend,46.77%,541.2MiB / 1GiB,52.85%
16:24:39,prontudigital-db,15.68%,134.1MiB / 512MiB,26.19%
16:24:47,prontudigital-backend,32.72%,541.7MiB / 1GiB,52.90%
16:24:47,prontudigital-db,41.17%,134.1MiB / 512MiB,26.19%
16:24:55,prontudigital-backend,31.37%,541.7MiB / 1GiB,52.90%
16:24:55,prontudigital-db,21.28%,134.1MiB / 512MiB,26.19%
16:25:03,prontudigital-backend,60.29%,541.4MiB / 1GiB,52.87%
16:25:03,prontudigital-db,34.54%,134.6MiB / 512MiB,26.29%
16:25:11,prontudigital-backend,96.12%,541.2MiB / 1GiB,52.85%
16:25:11,prontudigital-db,80.82%,135.2MiB / 512MiB,26.41%
16:25:19,prontudigital-backend,4.84%,541.2MiB / 1GiB,52.85%
16:25:19,prontudigital-db,33.02%,134.6MiB / 512MiB,26.29%
16:25:27,prontudigital-backend,40.52%,541.6MiB / 1GiB,52.89%
16:25:27,prontudigital-db,52.30%,135.4MiB / 512MiB,26.44%
16:25:35,prontudigital-backend,97.92%,541.6MiB / 1GiB,52.89%
16:25:35,prontudigital-db,67.90%,135.3MiB / 512MiB,26.43%
16:25:43,prontudigital-backend,119.02%,541.6MiB / 1GiB,52.89%
16:25:43,prontudigital-db,41.77%,134.8MiB / 512MiB,26.33%
16:25:51,prontudigital-backend,59.59%,541.6MiB / 1GiB,52.89%
16:25:51,prontudigital-db,30.59%,134.8MiB / 512MiB,26.34%
16:25:59,prontudigital-backend,54.49%,541.6MiB / 1GiB,52.89%
16:25:59,prontudigital-db,43.61%,135.4MiB / 512MiB,26.44%
16:26:08,prontudigital-backend,50.56%,541.6MiB / 1GiB,52.89%
16:26:08,prontudigital-db,50.22%,135.3MiB / 512MiB,26.43%
16:26:16,prontudigital-backend,30.90%,541.7MiB / 1GiB,52.90%
16:26:16,prontudigital-db,34.24%,134.9MiB / 512MiB,26.34%
16:26:24,prontudigital-backend,73.70%,541.4MiB / 1GiB,52.87%
16:26:24,prontudigital-db,16.56%,135.2MiB / 512MiB,26.42%
16:26:32,prontudigital-backend,23.51%,541.4MiB / 1GiB,52.87%
16:26:32,prontudigital-db,16.68%,135.2MiB / 512MiB,26.40%
16:26:40,prontudigital-backend,26.58%,541.7MiB / 1GiB,52.90%
16:26:40,prontudigital-db,17.35%,135.1MiB / 512MiB,26.40%
16:26:47,prontudigital-backend,35.32%,541.7MiB / 1GiB,52.90%
16:26:47,prontudigital-db,72.07%,135.7MiB / 512MiB,26.51%
16:26:55,prontudigital-backend,52.88%,541.4MiB / 1GiB,52.88%
16:26:55,prontudigital-db,70.41%,135.6MiB / 512MiB,26.49%
16:27:03,prontudigital-backend,40.94%,541.4MiB / 1GiB,52.87%
16:27:03,prontudigital-db,23.36%,135.5MiB / 512MiB,26.46%
16:27:11,prontudigital-backend,47.36%,541.8MiB / 1GiB,52.91%
16:27:11,prontudigital-db,36.48%,135.5MiB / 512MiB,26.47%
16:27:19,prontudigital-backend,22.70%,541.4MiB / 1GiB,52.88%
16:27:19,prontudigital-db,32.93%,135.5MiB / 512MiB,26.46%
16:27:27,prontudigital-backend,59.40%,541.9MiB / 1GiB,52.92%
16:27:27,prontudigital-db,43.21%,135.5MiB / 512MiB,26.46%
16:27:35,prontudigital-backend,20.31%,541.7MiB / 1GiB,52.90%
16:27:35,prontudigital-db,16.57%,135.7MiB / 512MiB,26.51%
16:27:43,prontudigital-backend,26.00%,541.4MiB / 1GiB,52.88%
16:27:43,prontudigital-db,21.56%,135.6MiB / 512MiB,26.48%
16:27:51,prontudigital-backend,114.42%,541.5MiB / 1GiB,52.88%
16:27:51,prontudigital-db,104.71%,135.8MiB / 512MiB,26.53%
16:28:00,prontudigital-backend,35.23%,541.5MiB / 1GiB,52.88%
16:28:00,prontudigital-db,62.62%,135.6MiB / 512MiB,26.48%
16:28:09,prontudigital-backend,118.54%,541.6MiB / 1GiB,52.89%
16:28:09,prontudigital-db,107.79%,136.2MiB / 512MiB,26.60%
16:28:18,prontudigital-backend,78.01%,542MiB / 1GiB,52.93%
16:28:18,prontudigital-db,37.76%,136.3MiB / 512MiB,26.62%
16:28:27,prontudigital-backend,109.68%,542MiB / 1GiB,52.93%
16:28:27,prontudigital-db,101.08%,136.2MiB / 512MiB,26.60%
16:28:36,prontudigital-backend,66.72%,541.7MiB / 1GiB,52.90%
16:28:36,prontudigital-db,52.78%,136.1MiB / 512MiB,26.58%
16:28:44,prontudigital-backend,85.44%,541.5MiB / 1GiB,52.88%
16:28:44,prontudigital-db,100.62%,136.4MiB / 512MiB,26.65%
16:28:53,prontudigital-backend,70.56%,541.5MiB / 1GiB,52.88%
16:28:53,prontudigital-db,54.95%,136.2MiB / 512MiB,26.59%
