carimbo,container,cpu_pct,mem_uso,mem_pct
15:58:43,prontudigital-backend,54.53%,536.9MiB / 1GiB,52.43%
15:58:43,prontudigital-db,23.60%,138.2MiB / 512MiB,26.99%
15:58:51,prontudigital-backend,69.06%,537MiB / 1GiB,52.44%
15:58:51,prontudigital-db,24.84%,138MiB / 512MiB,26.95%
15:58:59,prontudigital-backend,29.89%,537.3MiB / 1GiB,52.47%
15:58:59,prontudigital-db,19.79%,138.2MiB / 512MiB,26.99%
15:59:06,prontudigital-backend,42.49%,537.1MiB / 1GiB,52.45%
15:59:06,prontudigital-db,28.01%,138.1MiB / 512MiB,26.97%
15:59:14,prontudigital-backend,17.40%,537.2MiB / 1GiB,52.46%
15:59:14,prontudigital-db,29.32%,138.2MiB / 512MiB,26.99%
15:59:22,prontudigital-backend,46.16%,537.2MiB / 1GiB,52.46%
15:59:22,prontudigital-db,36.80%,138.6MiB / 512MiB,27.07%
15:59:30,prontudigital-backend,15.34%,537.2MiB / 1GiB,52.46%
15:59:30,prontudigital-db,20.42%,138.2MiB / 512MiB,26.98%
15:59:38,prontudigital-backend,5.43%,537.2MiB / 1GiB,52.46%
15:59:38,prontudigital-db,4.09%,138.2MiB / 512MiB,27.00%
15:59:46,prontudigital-backend,0.49%,537.2MiB / 1GiB,52.46%
15:59:46,prontudigital-db,0.03%,137.8MiB / 512MiB,26.91%
15:59:54,prontudigital-backend,0.22%,537.1MiB / 1GiB,52.45%
15:59:54,prontudigital-db,0.03%,137.8MiB / 512MiB,26.91%
16:00:02,prontudigital-backend,0.28%,537.3MiB / 1GiB,52.47%
16:00:02,prontudigital-db,0.00%,137.9MiB / 512MiB,26.93%
16:00:09,prontudigital-backend,0.19%,537.3MiB / 1GiB,52.47%
16:00:09,prontudigital-db,0.02%,137.8MiB / 512MiB,26.92%
16:00:17,prontudigital-backend,0.54%,537.3MiB / 1GiB,52.47%
16:00:17,prontudigital-db,0.00%,137.8MiB / 512MiB,26.92%
16:00:23,prontudigital-backend,0.39%,537.5MiB / 1GiB,52.49%
16:00:23,prontudigital-db,0.03%,137.9MiB / 512MiB,26.93%
16:00:31,prontudigital-backend,0.35%,537MiB / 1GiB,52.44%
16:00:31,prontudigital-db,0.04%,137.9MiB / 512MiB,26.94%
16:00:39,prontudigital-backend,0.53%,533.8MiB / 1GiB,52.13%
16:00:39,prontudigital-db,0.03%,137.9MiB / 512MiB,26.93%
16:00:46,prontudigital-backend,0.19%,532.4MiB / 1GiB,51.99%
16:00:46,prontudigital-db,3.80%,138.2MiB / 512MiB,27.00%
16:00:53,prontudigital-backend,0.30%,530.4MiB / 1GiB,51.79%
16:00:53,prontudigital-db,0.00%,137.9MiB / 512MiB,26.93%
16:01:01,prontudigital-backend,0.23%,530.4MiB / 1GiB,51.79%
16:01:01,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:01:09,prontudigital-backend,0.19%,530.4MiB / 1GiB,51.80%
16:01:09,prontudigital-db,0.02%,137.9MiB / 512MiB,26.93%
16:01:16,prontudigital-backend,0.31%,530.4MiB / 1GiB,51.79%
16:01:16,prontudigital-db,0.00%,138MiB / 512MiB,26.95%
16:01:24,prontudigital-backend,0.20%,530.4MiB / 1GiB,51.79%
16:01:24,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:01:32,prontudigital-backend,0.24%,530.4MiB / 1GiB,51.79%
